게임 이름	게임 Id	소스			
428 Shibuya Scramble	648580	Steam	데이터 없음		
A Total War Saga: Troy	11e598b192324994abce05bad4f81b50	Epic	35시간 7분	64시간 11분	85시간 2분
Alien: Isolation	8935bb3e1420443a9789fe01758039a5	Epic	18시간 16분	22시간 32분	34시간 4분
Analogue: A Hate Story	209370	Steam	3시간 5분	4시간 49분	6시간 10분
Another World: 20th Anniversary Edition	233550	Steam	2시간 20분	2시간 30분	2시간 37분
Ape Out	Coley	Epic	2시간 9분	3시간 4분	9시간 30분
Aperture Desk Job	1902490	Steam	32 분	32 분	32 분
Ark: Survival Evolved	aafc587fbf654758802c8e41e4fb3255	Epic	68시간 46분	313시간 44분	940시간 0분
Armored Core VI: Fires of Rubicon	1888160	Steam	17시간 37분	28시간 18분	50시간 48분
Assassin's Creed Odyssey	f3043c7d-4fb2-4d38-b85c-97530cdcb634	DRM-free	데이터 없음		
Assassin's Creed Unity	289650	Steam	17시간 12분	35시간 20분	80시간 5분
Balatro	2379780	Steam	7시간 35분	46시간 40분	251시간 3분
Baldur's Gate 2 Complete	1207658893	GOG	데이터 없음		
Baldur's Gate II: Enhanced Edition	257350	Steam	46시간 12분	81시간 5분	151시간 5분
Baldur's Gate III	1086940	Steam	72시간 51분	116시간 22분	181시간 6분
Baldur's Gate: Enhanced Edition	228280	Steam	31시간 15분	54시간 17분	95시간 19분
Baldur's Gate: The Original Saga	1207658886	GOG	--	74시간 30분	125시간 19분
Batman Arkham Asylum Game of the Year Edition	Godwit	Epic	11시간 5분	15시간 31분	25시간 22분
Batman Arkham City - Game of the Year Edition	Egret	Epic	13시간 30분	22시간 37분	59시간 11분
Batman: Arkham Knight	Cowbird	Epic	17시간 2분	31시간 28분	51시간 17분
Batman: The Telltale Series	498240	Steam	8시간 23분	9시간 9분	9시간 20분
Battle Brothers	365360	Steam	32시간 20분	56시간 12분	99시간 45분
BattleTech	637090	Steam	51시간 5분	75시간 30분	148시간 46분
Betrayal at Krondor	1207660953	GOG	50시간 5분	57시간 27분	70시간 57분
Betrayal in Antara	1207660983	GOG	59시간 55분	69시간 46분	--
BIOHAZARD RE:2	1a70ca03-cfea-4545-b969-c8b751847aa0	DRM-free	데이터 없음		
BioShock 2 Remastered	b22ce34b4ce0408c97a888554447479b	Epic	10시간 34분	14시간 24분	23시간 44분
BioShock Infinite	8870	Steam	11시간 32분	16시간 5분	28시간 32분
BioShock Infinite: Complete Edition	f9d6f0530ea140909f8e8a997a7532d7	Epic	11시간 32분	16시간 5분	28시간 32분
BioShock Remastered	bc2c95c6ff564a16b26644f1d3ac3c55	Epic	10시간 34분	14시간 24분	23시간 44분
Blackwell Unbound	80340	Steam	2시간 32분	2시간 48분	4시간 32분
Borderlands 2	Dodo	Epic	30시간 5분	54시간 51분	130시간 2분
Borderlands 3	Catnip	Epic	23시간 24분	46시간 25분	84시간 16분
Borderlands: The Pre-Sequel	Turkey	Epic	18시간 6분	29시간 22분	60시간 54분
Braid	26800	Steam	5시간 4분	5시간 57분	7시간 48분
Brothers: A Tale of Two Sons	Tamarind	Epic	3시간 4분	3시간 30분	4시간 2분
Brütal Legend	1207659253	GOG	9시간 14분	13시간 58분	24시간 50분
Brütal Legend	225260	Steam	9시간 14분	13시간 58분	24시간 50분
Capcom Arcade Stadium	1515950	Steam	1시간 23분	10시간 20분	29시간 4분
Carcassonne	Thrush	Epic	34 분	3시간 15분	17시간 6분
Carpe Diem	423880	Steam	9 분	10 분	13 분
CDPR Goodie Pack Content	1185685769	GOG	데이터 없음		
Celeste	Salt	Epic	8시간 18분	14시간 38분	39시간 11분
Chrono Trigger	41e8eece-d466-46f5-a507-bee1cc4cec16	에뮬	데이터 없음		
Cities: Skylines	bcbc03d8812a44c18f41cf7d5f849265	Epic	27시간 30분	68시간 32분	182시간 9분
Close to the Sun	Silene	Epic	4시간 6분	5시간 12분	6시간 8분
Company of Heroes 2	231430	Steam	15시간 49분	25시간 55분	64시간 0분
Control	870780	Steam	12시간 45분	25시간 17분	38시간 46분
Counter-Strike 2	730	Steam	145시간 27분	373시간 3분	742시간 33분
Crusader Kings II	203770	Steam	67시간 3분	246시간 12분	421시간 27분
Crypt of the NecroDancer	247080	Steam	13시간 59분	26시간 7분	393시간 21분
Cyberpunk 2077	1091500	Steam	26시간 3분	63시간 8분	108시간 37분
Daemon X Machina	f4f0d39fbb4640e0be62aa91d9eca87d	Epic	15시간 8분	22시간 34분	63시간 7분
Dark Devotion	718590	Steam	11시간 14분	15시간 31분	28시간 16분
Dark Souls: Prepare to Die Edition	211420	Steam	45시간 49분	62시간 47분	105시간 54분
Darkest Dungeon	262060	Steam	56시간 45분	85시간 7분	128시간 14분
Dead Island 2	Crow	Epic	16시간 9분	26시간 41분	39시간 16분
Death Stranding	Boga	Epic	40시간 31분	60시간 3분	112시간 59분
Deathloop	3206dba3f9b14fd3b01c18f9dcbc864a	Epic	16시간 23분	24시간 29분	35시간 51분
Deiland	760620	Steam	11시간 1분	13시간 2분	15시간 28분
Desktop Dungeons	226620	Steam	19시간 17분	47시간 22분	129시간 44분
Detroit: Become Human	1222140	Steam	12시간 4분	15시간 44분	32시간 10분
Deus Ex: Game of the Year Edition	1207658995	GOG	22시간 56분	28시간 42분	39시간 5분
Deus Ex: Human Revolution - Director's Cut	238010	Steam	23시간 1분	31시간 5분	46시간 40분
Deus Ex: Invisible War	1207659068	GOG	9시간 4분	13시간 27분	18시간 58분
Dev Guy	351800	Steam	37 분	41 분	53 분
Disco Elysium	632470	Steam	23시간 42분	33시간 8분	48시간 12분
Dishonored	205100	Steam	12시간 8분	18시간 29분	37시간 42분
Divinity: Original Sin 2	765974c8-60e3-42f2-a51c-a11b6fce5e5b	DRM-free	데이터 없음		
DmC: Devil May Cry	220440	Steam	9시간 9분	12시간 10분	40시간 38분
DNF Duel	82cdbdf05c61474d89c4f9e8a8bf0ea4	Epic	1시간 37분	14시간 33분	113시간 21분
Doom	379720	Steam	11시간 34분	16시간 26분	27시간 7분
Doom 64	5b60142e120c4f2d88027595c21d4a04	Epic	7시간 8분	9시간 13분	10시간 32분
Door Kickers	248610	Steam	7시간 37분	17시간 7분	37시간 45분
Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist	409160	Steam	25 분	1시간 14분	1시간 45분
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition	1295510	Steam	57시간 33분	89시간 55분	129시간 58분
Dragon's Dogma II	a1c25647-78d4-4e74-8f93-2c8acd1c8407	DRM-free	데이터 없음		
Drawful 2	442070	Steam	1시간 54분	6시간 29분	6시간 33분
Dying Light	239140	Steam	18시간 14분	36시간 28분	64시간 20분
Elden Ring	d8b1807e-18d0-4db9-8f92-bea269da01e4	DRM-free	데이터 없음		
Enter the Gungeon	Garlic	Epic	22시간 27분	61시간 51분	160시간 2분
EVE burst error	147cda49-a8a7-42ce-9a6b-826daaa7dd53	에뮬	11시간 45분	--	25시간 50분
Evil Maze	484950	Steam	--	--	3시간 51분
Expeditions: Conquistador	237430	Steam	24시간 32분	28시간 10분	39시간 0분
Eye of the Beholder	1432575012	GOG	10시간 53분	13시간 27분	19시간 31분
Eye of the Beholder II: The Legend of Darkmoon	1432576039	GOG	12시간 18분	16시간 46분	20시간 21분
Eye of the Beholder III: Assault on Myth Drannor	1432576327	GOG	9시간 45분	15시간 0분	20시간 33분
F.E.A.R.	21090	Steam	8시간 10분	10시간 5분	12시간 13분
F.E.A.R. 2: Project Origin	16450	Steam	7시간 6분	8시간 42분	10시간 52분
F.E.A.R. Extraction Point	21110	Steam	4시간 23분	5시간 11분	5시간 57분
F.E.A.R. Perseus Mandate	21120	Steam	5시간 1분	6시간 8분	7시간 3분
F1 2015	286570	Steam	14시간 4분	25시간 35분	47시간 14분
F1 Manager 2024	03c9fe3b2869452ba8433ee7708a3e93	Epic	21시간 5분	56시간 27분	111시간 19분
Fallout 3: Game of the Year Edition	22370	Steam	26시간 23분	58시간 0분	106시간 20분
Fallout 4	377160	Steam	27시간 48분	83시간 15분	160시간 30분
Fallout Tactics: Brotherhood of Steel	908f75e7f1624819a70c27f543741dcd	Epic	25시간 34분	45시간 38분	49시간 13분
Fallout: A Post Nuclear Role Playing Game	38400	Steam	16시간 12분	22시간 53분	32시간 4분
Fallout: New Vegas	22380	Steam	26시간 52분	60시간 17분	130시간 47분
fire emblem awakening	f39b86a2-aadb-4cf4-803b-6f957251425c	에뮬	데이터 없음		
Fire Emblem: Three Houses	cfaeab16-fb4c-4d97-951c-4f83fd19c87f	에뮬	49시간 14분	76시간 38분	210시간 16분
Fire Pro Wrestling World	564230	Steam	27시간 47분	66시간 27분	139시간 19분
Flashback	1486529526	GOG	6시간 10분	6시간 31분	8시간 40분
Football Manager 2024	da2038ef19e94554898056d79168b3f8	Epic	138시간 31분	224시간 0분	415시간 35분
Football Manager 2024	7e9ca4940ed0427699f687f538d8f72d	Epic	138시간 31분	224시간 0분	415시간 35분
Football Manager 2024	08c5c041aa2c4fe08fbd87c08fb37c36	Epic	138시간 31분	224시간 0분	415시간 35분
For Honor	304390	Steam	7시간 2분	10시간 59분	18시간 15분
For Honor - Public Test	654310	Steam	데이터 없음		
For the King	Discus	Epic	11시간 56분	34시간 26분	75시간 8분
FTL: Faster Than Light	212680	Steam	12시간 5분	31시간 44분	112시간 51분
Galactic Civilizations II: Endless Universe	202200	Steam	20시간 22분	33시간 12분	83시간 48분
Gemini Rue	80310	Steam	6시간 54분	7시간 56분	11시간 1분
Gensei Suikoden Plus	3078590	Steam	데이터 없음		
Geometry Dash	322170	Steam Family Sharing	22시간 5분	209시간 43분	1301시간 58분
Ghost of Tsushima	ac3c23f2-55bf-4557-9b5d-71f5a9346a66	DRM-free	데이터 없음		
Ghostwire: Tokyo	007ff8f4e30845a687e66aa77eb3e965	Epic	11시간 22분	22시간 50분	42시간 2분
Goat of Duty	555000	Steam	1시간 46분	--	38시간 21분
God of War	f9b3e05b-8b28-4a73-b236-f11fe18788fe	DRM-free	데이터 없음		
God of War Ragnarök	8bb3d1c5-0dd8-4e5b-9b52-252a9828764a	DRM-free	데이터 없음		
GODDESS OF VICTORY: NIKKE	069d6dfb-8ca8-4ee7-8a2b-2555d51adbb0	폰겜	데이터 없음		
God's Trigger	9bc4423d873845739cc99ab69b6bfbe9	Epic	5시간 10분	7시간 11분	9시간 55분
Gone Home: Console Edition	Flier	Epic	1시간 59분	2시간 32분	3시간 6분
Grand Theft Auto V	9d2d0eb64d5c44529cece33fe2a46482	Epic	32시간 3분	51시간 27분	88시간 47분
Grand Theft Auto V Enhanced	8769e24080ea413b8ebca3f1b8c50951	Epic	32시간 3분	51시간 27분	88시간 47분
Hacknet	365450	Steam	7시간 11분	8시간 53분	11시간 19분
Half Minute Hero: Super Mega Neo Climax Ultimate Boy	214830	Steam	4시간 49분	13시간 42분	24시간 55분
Half-Life	70	Steam	11시간 57분	14시간 5분	15시간 22분
Half-Life 2	220	Steam	12시간 53분	15시간 37분	19시간 53분
Half-Life 2: Deathmatch	320	Steam	2시간 25분	9시간 45분	21시간 33분
Half-Life Deathmatch: Source	360	Steam	2시간 30분	2시간 40분	3시간 20분
Half-Life: Source	280	Steam	11시간 8분	13시간 7분	14시간 6분
Hand of Fate 2	808f0dfbf3b84c2680793724d7f207bf	Epic	22시간 12분	43시간 7분	106시간 45분
Headsnatchers	797410	Steam	50 분	3시간 16분	10시간 40분
Heavy Rain	960910	Steam	9시간 58분	12시간 2분	22시간 10분
Hellion	588210	Steam	90시간 0분	150시간 0분	212시간 0분
Her Story	368370	Steam	2시간 24분	3시간 20분	4시간 9분
Hitman	Barbet	Epic	10시간 42분	23시간 46분	92시간 41분
Hitman: Absolution	203140	Steam	12시간 19분	19시간 46분	37시간 0분
Hitman: Blood Money	6860	Steam	11시간 50분	16시간 7분	20시간 26분
Hob	Lyrebird	Epic	10시간 20분	11시간 24분	16시간 56분
Hogwarts Legacy	fa4240e57a3c46b39f169041b7811293	Epic	26시간 42분	45시간 15분	72시간 2분
Hyper Light Drifter	Parakeet	Epic	7시간 45분	11시간 47분	27시간 17분
Icewind Dale II Complete	1207658891	GOG	데이터 없음		
Icewind Dale: Enhanced Edition	321800	Steam	30시간 32분	40시간 56분	61시간 54분
Idle Champions of the Forgotten Realms	627690	Steam	39시간 29분	87시간 20분	5811시간 40분
Indiana Jones and the Fate of Atlantis	d1e977d3-b147-42e8-8470-8a682e0d3f31	두기런처	8시간 10분	10시간 0분	10시간 9분
Indie Game: The Movie	207080	Steam	데이터 없음		
Injustice: Gods Among Us - Ultimate Edition	242700	Steam	5시간 1분	11시간 33분	25시간 6분
Insurgency	222880	Steam	12시간 47분	34시간 4분	59시간 15분
Into the Breach	590380	Steam	5시간 44분	20시간 0분	52시간 53분
Invisible, Inc.	243970	Steam	7시간 14분	18시간 34분	86시간 32분
Jagged Alliance 2	1207658696	GOG	10시간 0분	20시간 0분	57시간 18분
Jagged Alliance 2: Gold Pack	12370	Steam	36시간 42분	52시간 33분	68시간 4분
Jagged Alliance 2: Gold Pack	12380	Steam	36시간 42분	52시간 33분	68시간 4분
Jagged Alliance: Gold Edition	283270	Steam	10시간 34분	25시간 54분	29시간 50분
Judgment	2058180	Steam	27시간 39분	46시간 12분	99시간 24분
Jurassic World Evolution 2	70883ed009994efe86d00a5fb8f2b52e	Epic	6시간 0분	36시간 27분	104시간 33분
Just Cause 4	Kakopo	Epic	16시간 7분	28시간 0분	54시간 45분
Kakyuusei	170022e6-312d-43fc-85d1-246e03e48cce	에뮬	--	65시간 0분	--
Kards: The WWII Card Game	544810	Steam	데이터 없음		
Kathy Rain	370910	Steam	6시간 1분	6시간 35분	6시간 58분
Kingdom Come: Deliverance	Eel	Epic	42시간 39분	80시간 49분	136시간 38분
Kingdom Come: Deliverance II	1771300	Steam	55시간 5분	98시간 31분	143시간 12분
L.A. Noire	110800	Steam	22시간 11분	28시간 59분	42시간 14분
Lara Croft and the Temple of Osiris	289690	Steam	5시간 14분	7시간 3분	13시간 30분
Layers of Fear	391720	Steam	데이터 없음		
Left 4 Dead 2	550	Steam	10시간 12분	27시간 51분	61시간 21분
LEGO Batman 2: DC Super Heroes	Grackle	Epic	8시간 56분	15시간 26분	24시간 8분
LEGO Batman 3: Beyond Gotham	Gull	Epic	10시간 9분	19시간 12분	36시간 0분
LEGO Batman: The Videogame	Goldeneye	Epic	9시간 56분	16시간 16분	29시간 18분
LEGO Star Wars: The Skywalker Saga	c390e58246ea4a778acd26473a489b48	Epic	18시간 35분	34시간 40분	90시간 2분
LEGO The Hobbit	285160	Steam	8시간 51분	16시간 27분	36시간 51분
LEGO The Lord of the Rings	214510	Steam	10시간 3분	16시간 55분	33시간 38분
Lethal League	261180	Steam	7시간 25분	10시간 50분	20시간 14분
Life Is Strange	319630	Steam	14시간 8분	16시간 26분	18시간 31분
Limbo	48000	Steam	3시간 34분	4시간 10분	6시간 44분
Lisa: The Painful	335670	Steam	13시간 2분	15시간 5분	19시간 8분
Lossless Scaling	993090	Steam	데이터 없음		
Mad Games Tycoon	341000	Steam	22시간 58분	31시간 30분	41시간 58분
Mahjong Soul	2739990	Steam	--	69시간 0분	--
Mangui	3220010	Steam	--	--	--
Manual Samuel	504130	Steam	데이터 없음		
Marvel Rivals	2767030	Steam	18시간 14분	58시간 39분	130시간 26분
Marvel Snap	1997040	Steam	66시간 3분	100시간 34분	--
Marvel's Midnight Suns	49550aa9fcd74552ae07c4e9f2c262fe	Epic	40시간 25분	65시간 41분	96시간 43분
Marvel's Spider-Man 2	c67065a1-ff29-46e7-8cf6-a3a0e65b6273	DRM-free	데이터 없음		
Mass Effect Legendary Edition	1328670	Steam	데이터 없음		
Max Gentlemen	257710	Steam	15 분	16 분	46 분
Mecha BREAK Playtest	3016800	Steam	데이터 없음		
